No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
2673,J1909+1859,nft95,19:09:18.604,0.008,cn95,+18:59:10.74,0.11,cn95,287.3275166666666,18.986316666666667
2674,J1909-3744,jbv+03,19:09:47.4322832,2.8e-07,rsc+21,-37:44:14.583740,1.1e-05,rsc+21,287.4476345133333,-37.73738437222222
2675,J1910-0112,lfl+06,19:10:15.7,0.4,lfl+06,-01:12:06,14.0,lfl+06,287.5654166666667,-1.2016666666666667
2676,J1910+0225,hfs+04,19:10:10.359,0.017,hfs+04,+02:25:23.6,0.5,hfs+04,287.5431625,2.423222222222222
2677,J1910-0309,mlt+78,19:10:29.692,0.002,lbs+20,-03:09:54.1,0.1,lbs+20,287.62371666666667,-3.1650277777777776
2678,J1910+0358,mb75,19:10:09.06,0.027,hlk+04,+03:58:28.0,1.1,hlk+04,287.53774999999996,3.9744444444444444
2679,J1910+0435,psf+22,19:10:11.072,0.006,psf+22,+04:35:29.5,0.2,psf+22,287.5461333333333,4.591527777777777
2680,J1910+0517,lsf+17,19:10:37.907,0.014,lsf+17,+5:17:56.1,0.5,lsf+17,287.6579458333333,5.298916666666667
2681,J1910+0534,mhl+02,19:10:26.51,0.09,mhl+02,+05:34:09,4.0,mhl+02,287.6104583333333,5.569166666666667
2682,J1910-0556,sfj+20,19:10:16.523,0.007,sfj+20,-05:56:29.9,0.4,sfj+20,287.5688458333333,-5.941638888888889
2683,J1910+0710,psf+22,19:10:13.873,0.015,psf+22,+07:10:46.4,0.5,psf+22,287.55780416666664,7.179555555555556
2684,J1910+0714,nft95,19:10:18.597,0.016,cn95,+07:14:11.8,0.5,cn95,287.57748749999996,7.236611111111111
2685,J1910+0728,hfs+04,19:10:22.079,0.006,hfs+04,+07:28:37.09,0.15,hfs+04,287.5919958333333,7.476969444444444
2686,J1910+1017,psf+22,19:10:26.124,0.002,psf+22,+10:17:54.09,0.06,psf+22,287.60884999999996,10.298358333333333
2687,J1910+1026,lbh+15,19:10:48.753,0.009,psf+22,+10:26:52.5,0.5,psf+22,287.70313749999997,10.447916666666666
2688,J1910+1054g,hww+21,19:10:01,6.0,hww+21,+10:54,2.0,hww+21,287.50416666666666,10.9
2689,J1910+1117g,hww+21,19:10:27,6.0,hww+21,+11:17,2.0,hww+21,287.6125,11.283333333333333
2690,J1910+1231,ht75b,19:10:13.53,0.037,hlk+04,+12:31:40.2,1.4,hlk+04,287.556375,12.527833333333334
2691,J1910+1256,fsk+04,19:10:09.701495,4.1e-06,aab+21a,+12:56:25.45385,0.00011,aab+21a,287.54042289583333,12.940403847222223
